NAME                              READY   STATUS    RESTARTS   AGE
estate-service-66cb4dbfbb-r8dtp   1/1     Running   0          80m
estate-service-66cb4dbfbb-xbp54   1/1     Running   0          80m
estate-service-598d97c47-jttwb    0/1     Pending   0          0s
estate-service-598d97c47-jttwb    0/1     Pending   0          0s
estate-service-598d97c47-jttwb    0/1     ContainerCreating   0          0s
estate-service-598d97c47-jttwb    0/1     ContainerCreating   0          1s
estate-service-598d97c47-jttwb    0/1     Running             0          1s
estate-service-598d97c47-jttwb    0/1     Running             0          6s
estate-service-598d97c47-jttwb    1/1     Running             0          6s
estate-service-66cb4dbfbb-r8dtp   1/1     Terminating         0          80m
estate-service-598d97c47-n56kw    0/1     Pending             0          0s
estate-service-598d97c47-n56kw    0/1     ContainerCreating   0          0s
estate-service-66cb4dbfbb-r8dtp   0/1     Error               0          80m
estate-service-598d97c47-n56kw    0/1     Running             0          1s
estate-service-598d97c47-n56kw    0/1     Running             0          6s
estate-service-598d97c47-n56kw    1/1     Running             0          6s
estate-service-66cb4dbfbb-xbp54   1/1     Terminating         0          80m
estate-service-66cb4dbfbb-xbp54   0/1     Error               0          80m
